Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
17,65,Yes,5,75,Yes,2,Public,Positive,3,No,High School,Near,Female,63
21,62,Yes,6,54,Yes,0,Public,Positive,3,No,Postgraduate,Far,Male,64
13,91,No,6,90,Yes,1,Public,Negative,2,Yes,High School,Moderate,Female,65
22,83,Yes,6,94,Yes,0,Public,Neutral,2,No,College,Moderate,Male,71
16,90,No,4,58,Yes,1,Public,Neutral,3,No,High School,Moderate,Female,66
18,66,No,4,51,Yes,2,Private,Neutral,2,No,College,Near,Male,64
16,83,No,6,57,Yes,0,Public,Positive,4,Yes,High School,Near,Female,63
31,70,Yes,7,66,Yes,1,Public,Negative,3,No,College,Near,Male,69
20,69,Yes,8,96,Yes,2,Public,Positive,3,No,High School,Near,Male,67
14,60,No,5,50,Yes,2,Public,Neutral,3,No,College,,Female,61
25,65,No,5,90,Yes,2,Public,Positive,3,No,College,Moderate,Female,68
13,72,No,6,93,Yes,1,Public,Negative,3,No,High School,Near,Male,61
21,65,Yes,7,91,Yes,2,Public,Positive,3,No,High School,Far,Female,64
8,99,No,9,54,Yes,2,Public,Neutral,5,No,Postgraduate,Near,Female,67
12,72,Yes,8,84,Yes,1,Public,Positive,5,No,High School,Near,Female,63
21,65,Yes,6,98,Yes,1,Public,Negative,4,No,High School,Near,Male,64
24,68,No,8,56,Yes,3,Public,Neutral,1,No,College,Near,Male,67
21,84,Yes,6,52,Yes,1,Public,Neutral,2,Yes,College,Far,Female,65
19,63,No,7,94,Yes,1,Private,Positive,3,No,High School,Moderate,Male,64
18,94,Yes,7,82,Yes,3,Private,Negative,2,Yes,College,Near,Male,70
11,98,Yes,9,82,Yes,1,Private,Positive,3,No,Postgraduate,Far,Male,68
16,70,Yes,8,98,Yes,2,Public,Positive,3,No,High School,Moderate,Male,65
17,78,Yes,6,88,Yes,1,Private,Positive,3,No,College,Near,Female,68
26,61,Yes,6,70,Yes,2,Public,Positive,3,No,High School,Moderate,Female,64
22,86,Yes,7,72,Yes,3,Public,Positive,2,No,High School,Moderate,Male,68
9,77,No,5,57,Yes,2,Public,Neutral,3,No,High School,Near,Male,63
22,71,Yes,7,65,Yes,1,Public,Positive,4,No,College,Moderate,Male,64
18,68,No,7,72,Yes,0,Public,Neutral,3,No,College,Near,Male,64
16,86,Yes,8,63,Yes,2,Public,Positive,4,No,High School,Near,Male,67
24,77,No,8,96,Yes,0,Public,Neutral,3,No,High School,Near,Female,67
26,67,Yes,7,51,Yes,2,Private,Neutral,4,Yes,Postgraduate,Far,Female,66
26,88,Yes,5,79,Yes,1,Private,Positive,4,No,College,Moderate,Male,72
15,83,No,5,89,No,1,Public,Neutral,2,Yes,High School,Near,Female,65
18,94,Yes,6,87,Yes,1,Public,Positive,4,No,High School,Near,Male,71
22,65,No,8,82,Yes,2,Public,Positive,1,No,Postgraduate,Near,Female,66
26,91,Yes,8,71,Yes,0,Private,Neutral,3,No,High School,Moderate,Male,68
17,87,No,7,96,Yes,1,Public,Negative,5,No,Postgraduate,Near,Female,70
19,65,Yes,10,66,Yes,0,Public,Positive,3,No,High School,Moderate,Male,62
13,88,Yes,9,88,Yes,2,Private,Negative,4,No,Postgraduate,Far,Male,68
13,78,Yes,9,96,Yes,2,Public,Neutral,3,No,College,Moderate,Male,67
25,98,Yes,8,56,No,0,Private,Neutral,3,No,Postgraduate,Near,Male,71
28,66,Yes,8,97,Yes,0,Public,Neutral,2,No,High School,Near,Male,68
20,86,Yes,8,89,Yes,1,Public,Negative,3,No,Postgraduate,Near,Male,69
26,75,Yes,4,81,Yes,3,Private,Positive,2,No,High School,Moderate,Male,70
22,98,No,5,69,No,1,Public,Negative,4,No,High School,Moderate,Female,69
16,73,No,7,95,Yes,1,Public,Negative,4,No,College,Near,Male,65
22,98,Yes,7,52,No,3,Public,Positive,3,No,College,Near,Female,70
29,96,Yes,7,72,Yes,1,Public,Positive,3,No,High School,Moderate,Male,71
20,71,Yes,7,88,Yes,1,Public,Neutral,4,No,College,Near,Female,65
29,92,No,4,91,Yes,2,Public,Negative,1,No,Postgraduate,Near,Female,72
4,100,Yes,8,60,Yes,0,Private,Positive,4,No,College,Moderate,Male,69
25,70,No,7,52,Yes,1,Public,Positive,3,No,Postgraduate,Near,Female,66
21,77,Yes,7,90,Yes,4,Private,Neutral,3,No,Postgraduate,Moderate,Male,68
18,81,Yes,8,71,Yes,0,Public,Neutral,3,No,High School,Moderate,Female,65
21,72,Yes,5,57,Yes,1,Public,Neutral,5,Yes,College,Moderate,Male,64
8,61,Yes,7,54,Yes,1,Public,Positive,3,No,College,Near,Male,60
19,69,Yes,7,82,Yes,1,Public,Negative,2,No,High School,Near,Male,65
22,71,No,6,79,Yes,1,Public,Positive,3,No,High School,Near,Male,66
29,78,Yes,4,93,Yes,5,Public,Neutral,3,No,College,Near,Male,74
17,67,Yes,5,52,Yes,2,Private,Negative,3,No,High School,Far,Female,62
15,95,No,7,93,Yes,2,Public,Positive,4,No,College,Moderate,Male,70
17,88,Yes,7,94,Yes,0,Public,Neutral,3,No,High School,Near,Male,69
25,63,Yes,7,72,Yes,3,Private,Negative,4,No,College,Far,Male,67
22,86,No,6,54,Yes,2,Public,Neutral,0,No,High School,Moderate,Male,64
17,86,No,5,97,Yes,3,Public,Neutral,3,No,College,Near,Male,71
23,98,Yes,7,54,Yes,0,Public,Negative,3,No,College,Near,Female,68
21,60,No,7,80,Yes,0,Public,Neutral,4,Yes,College,Near,Male,64
26,70,Yes,8,75,Yes,1,Private,Neutral,4,Yes,High School,Far,Female,63
16,97,Yes,6,92,Yes,0,Private,Positive,4,No,College,Near,Male,71
18,97,Yes,4,75,Yes,0,Public,Positive,3,No,High School,Moderate,Male,69
18,89,Yes,4,73,Yes,3,Private,Positive,2,No,College,Near,Female,100
11,91,No,6,94,Yes,3,Public,Neutral,3,No,College,Moderate,Male,68
22,64,No,7,98,No,1,Public,Negative,3,No,High School,Near,Male,62
22,81,Yes,7,77,Yes,2,Public,Positive,3,No,Postgraduate,Far,Female,68
20,69,Yes,6,73,Yes,2,Private,Positive,3,No,High School,Far,Male,66
19,67,No,5,92,Yes,0,Public,Positive,3,No,College,Near,Male,64
12,92,No,4,92,Yes,2,Public,Neutral,3,Yes,High School,Moderate,Male,67
17,65,Yes,8,66,Yes,1,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65
18,79,Yes,7,79,Yes,0,Private,Neutral,3,No,College,Far,Male,65
15,98,No,6,58,Yes,0,Public,Positive,3,No,College,Near,Male,69
19,67,No,5,82,Yes,1,Private,Negative,3,No,High School,Near,Male,63
22,99,Yes,6,92,Yes,3,Public,Negative,4,No,Postgraduate,Moderate,Male,72
31,100,No,7,59,Yes,2,Public,Positive,5,No,Postgraduate,Moderate,Male,76
21,82,Yes,7,66,Yes,3,Public,Positive,3,Yes,College,Near,Female,69
22,67,Yes,7,72,Yes,3,Public,Positive,2,No,Postgraduate,Moderate,Female,67
20,73,Yes,9,92,Yes,2,Public,Positive,3,No,College,Near,Male,69
8,77,Yes,6,87,Yes,0,Public,Neutral,2,No,High School,Moderate,Male,63
20,72,No,9,66,Yes,3,Private,Positive,3,No,Postgraduate,Near,Male,67
20,71,Yes,7,62,Yes,2,Public,Negative,5,No,College,Near,Male,66
35,99,Yes,7,85,Yes,2,Private,Neutral,2,No,Postgraduate,Near,Female,79
19,66,No,8,74,Yes,1,Public,Neutral,3,No,High School,Near,Female,64
22,89,Yes,6,80,Yes,1,Public,Positive,3,No,High School,Near,Female,73
20,60,No,7,82,Yes,2,Public,Positive,4,Yes,High School,Near,Male,63
13,84,No,5,78,Yes,1,Public,Positive,2,No,High School,Near,Male,65
27,97,Yes,8,81,Yes,0,Public,Positive,5,No,High School,Near,Female,73
25,72,Yes,8,94,Yes,2,Private,Positive,4,No,College,Moderate,Female,70
25,67,No,9,93,Yes,2,Public,Positive,3,Yes,High School,Near,Female,68
15,86,Yes,7,57,Yes,1,Public,Negative,3,No,College,Near,Male,65
28,89,Yes,9,79,Yes,0,Private,Positive,1,No,College,Moderate,Female,71
12,88,No,6,72,Yes,2,Public,Positive,2,No,College,Far,Male,64
24,73,Yes,8,64,Yes,4,Private,Neutral,3,Yes,College,Moderate,Male,68
33,70,Yes,6,82,Yes,1,Public,Neutral,4,No,College,Near,Male,69
14,98,No,7,76,Yes,0,Private,Positive,4,No,College,Moderate,Female,69
17,97,No,8,89,Yes,1,Public,Neutral,4,No,High School,Far,Male,69
21,78,Yes,10,55,Yes,1,Private,Positive,2,No,College,Near,Male,67
17,94,Yes,8,65,Yes,4,Public,Neutral,6,No,High School,Far,Female,68
11,78,Yes,8,51,Yes,2,Public,Neutral,3,No,Postgraduate,Near,Male,64
20,77,No,6,87,Yes,0,Public,Positive,4,No,High School,Near,Female,66
14,66,No,7,96,Yes,3,Public,Negative,3,No,High School,Near,Male,63
23,77,Yes,7,79,Yes,0,Public,Neutral,2,No,High School,Moderate,Male,66
14,81,No,9,81,Yes,1,Private,Negative,3,No,Postgraduate,Near,Female,66
29,61,Yes,7,52,Yes,3,Private,Positive,3,No,College,Near,Female,67
15,78,No,9,75,Yes,1,Public,Negative,1,No,High School,Near,Male,65
18,91,Yes,5,76,Yes,1,Public,Neutral,3,No,High School,Near,Female,68
25,87,No,9,52,Yes,1,Private,Positive,2,No,High School,Near,Male,68
13,85,No,6,89,Yes,0,Private,Neutral,1,Yes,High School,Near,Male,65
21,96,No,8,64,Yes,2,Public,Neutral,0,No,College,Near,Male,71
28,61,No,6,86,Yes,1,Private,Negative,3,Yes,Postgraduate,Far,Male,65
10,82,No,8,70,Yes,3,Public,Positive,1,Yes,Postgraduate,Near,Female,64
21,91,No,6,100,Yes,0,Private,Neutral,2,No,Postgraduate,Near,Female,72
22,82,No,9,61,Yes,2,Public,Negative,2,Yes,High School,Near,Female,65
25,73,No,8,53,No,0,Private,Negative,5,No,Postgraduate,Near,Female,66
13,65,No,6,99,Yes,0,Private,Negative,4,No,High School,Near,Male,61
12,96,Yes,8,62,Yes,2,Public,Negative,3,No,College,Near,Female,68
23,79,Yes,8,82,Yes,3,Public,Negative,3,Yes,Postgraduate,Moderate,Female,69
22,95,Yes,6,69,Yes,1,Public,Positive,3,No,College,Near,Female,72
22,83,Yes,5,82,Yes,2,Public,Positive,3,No,Postgraduate,Near,Female,71
22,87,No,5,80,Yes,2,Public,Negative,3,No,High School,Near,Female,70
16,92,Yes,5,85,Yes,1,Public,Neutral,2,No,High School,Moderate,Male,68
21,86,Yes,5,51,Yes,2,Public,Positive,2,No,High School,Moderate,Female,67
22,76,Yes,8,92,Yes,1,Public,Neutral,4,No,High School,Near,Female,68
16,81,Yes,8,74,Yes,3,Public,Positive,2,No,Postgraduate,Near,Female,68
31,92,Yes,4,76,Yes,2,Public,Positive,4,Yes,High School,Far,Male,72
23,75,No,6,71,Yes,0,Public,Neutral,2,No,College,Near,Male,65
13,76,No,5,99,Yes,2,Private,Positive,4,No,High School,Near,Female,66
24,64,Yes,8,90,Yes,0,Public,Negative,3,No,High School,Near,Male,65
14,97,Yes,6,66,Yes,2,Public,Negative,3,Yes,College,Near,Female,67
25,64,No,5,89,Yes,2,Public,Neutral,4,No,College,Far,Male,66
27,86,No,7,72,Yes,1,Public,Positive,4,No,High School,Far,Male,69
15,77,Yes,8,94,Yes,0,Public,Positive,3,No,College,Moderate,Male,66
26,76,Yes,6,52,Yes,4,Public,Neutral,3,No,High School,Near,Male,69
22,87,Yes,7,68,No,0,Public,Neutral,2,No,High School,Near,Male,67
25,63,Yes,6,71,Yes,1,Private,Positive,3,No,High School,Near,Male,66
31,84,Yes,9,87,Yes,2,Private,Neutral,3,No,College,Far,Male,71
19,91,No,6,59,Yes,5,Public,Neutral,4,No,College,Moderate,Male,70
15,93,No,6,64,Yes,2,Public,Positive,4,No,Postgraduate,Near,Male,71
15,67,Yes,7,86,Yes,1,Private,Positive,3,No,Postgraduate,Near,Male,66
15,96,No,7,54,No,3,Public,Negative,2,No,High School,Near,Male,67
20,86,No,8,60,Yes,1,Public,Neutral,4,Yes,College,Far,Female,66
22,95,No,9,88,Yes,0,Public,Positive,2,No,Postgraduate,Near,Male,72
22,79,No,9,94,Yes,1,Public,Positive,3,No,High School,Near,Male,68
25,82,No,6,86,No,3,Public,Positive,3,No,High School,Near,Female,69
20,97,Yes,7,76,Yes,2,Private,Positive,3,No,Postgraduate,Near,Male,71
29,96,Yes,9,55,No,0,Public,Neutral,2,No,Postgraduate,Far,Female,70
18,78,No,9,91,Yes,2,Public,Neutral,4,No,College,Far,Female,67
36,71,Yes,6,56,Yes,2,Public,Positive,2,No,High School,Far,Male,69
24,76,No,8,69,Yes,2,Public,Neutral,1,No,High School,Moderate,Male,65
15,76,No,8,53,Yes,1,Public,Neutral,4,No,College,Near,Male,65
14,71,Yes,8,85,Yes,2,Public,Neutral,4,No,High School,Near,Male,64
23,71,Yes,9,75,Yes,1,Public,Negative,2,No,College,Near,Male,63
19,94,Yes,5,95,Yes,3,Public,Positive,2,No,High School,Moderate,Male,69
24,63,Yes,6,57,Yes,1,Private,Neutral,5,No,College,Near,Female,64
23,87,Yes,8,91,Yes,0,Private,Positive,3,No,High School,Moderate,Male,72
20,67,Yes,7,76,Yes,0,Public,Neutral,4,No,High School,Near,Male,63
15,74,Yes,4,68,Yes,3,Public,Positive,3,No,High School,Near,Female,64
11,62,Yes,5,82,Yes,3,Private,Neutral,4,No,College,Moderate,Male,64
17,71,Yes,8,90,Yes,5,Public,Positive,1,No,Postgraduate,Far,Male,67
25,91,No,8,72,Yes,2,Public,Positive,0,No,Postgraduate,Near,Male,71
21,95,No,5,62,Yes,1,Public,Positive,4,No,High School,Near,Male,70
13,69,Yes,9,96,Yes,0,Private,Neutral,4,No,High School,Far,Female,61
21,79,Yes,7,66,Yes,2,Public,Negative,4,No,College,Moderate,Male,67
22,79,No,5,100,Yes,4,Public,Negative,3,No,College,Near,Male,72
15,95,Yes,6,88,Yes,1,Public,Negative,5,No,High School,Near,Male,66
21,91,Yes,5,84,Yes,1,Public,Neutral,2,No,High School,Near,Male,70
20,81,Yes,6,51,No,3,Public,Neutral,4,Yes,High School,Near,Male,67
13,87,Yes,4,72,Yes,2,Public,Neutral,3,No,High School,Moderate,Female,67
22,94,Yes,7,75,Yes,2,Public,Neutral,2,No,College,Near,Female,71
23,60,Yes,8,69,Yes,1,Private,Positive,4,No,College,Near,Male,66
26,76,Yes,5,57,Yes,1,Public,Positive,4,No,High School,Near,Male,68
26,96,Yes,7,68,Yes,3,Private,Positive,3,No,College,Near,Female,74
12,90,Yes,6,54,No,1,Public,Neutral,3,No,High School,Near,Male,64
14,82,No,8,65,Yes,1,Private,Positive,3,No,College,Near,Male,65
23,81,Yes,4,54,Yes,1,Public,Neutral,3,No,College,Near,Male,66
23,74,Yes,8,88,Yes,0,Public,Negative,3,Yes,High School,Near,Male,66
23,81,No,4,84,Yes,2,Public,Positive,5,No,High School,Near,Male,68
43,86,Yes,7,97,Yes,2,Public,Positive,1,No,High School,Near,Female,78
23,77,Yes,6,69,Yes,1,Private,Positive,2,No,High School,Moderate,Female,67
27,89,Yes,6,89,Yes,3,Private,Positive,3,No,High School,Near,Male,74
26,94,No,5,79,Yes,1,Public,Positive,2,No,Postgraduate,Near,Male,74
24,66,No,9,82,Yes,1,Public,Neutral,2,Yes,High School,Near,Female,62
18,78,Yes,5,77,No,2,Public,Neutral,4,No,High School,Far,Male,66
25,76,Yes,5,89,Yes,3,Public,Neutral,3,No,High School,Far,Female,69
15,87,Yes,10,52,Yes,2,Private,Positive,3,No,College,Near,Male,68
19,70,No,7,54,Yes,0,Public,Positive,2,Yes,High School,Moderate,Male,89
17,86,No,5,55,No,2,Private,Neutral,4,No,College,Near,Male,66
20,95,Yes,7,64,No,2,Public,Neutral,3,No,High School,Near,Female,68
34,77,Yes,7,80,Yes,0,Public,Positive,3,No,High School,Near,Male,69
9,96,Yes,4,82,No,0,Public,Positive,4,No,College,Near,Male,67
24,100,Yes,6,86,Yes,2,Private,Positive,5,No,High School,Near,Male,75
10,64,No,7,64,Yes,0,Public,Positive,4,Yes,High School,Moderate,Female,60
17,69,Yes,9,83,Yes,2,Private,Positive,4,Yes,College,Moderate,Female,66
27,98,Yes,7,56,Yes,1,Private,Positive,3,No,College,Near,Female,73
20,98,No,7,50,Yes,1,Private,Neutral,2,No,High School,Near,Female,68
14,64,Yes,6,85,Yes,0,Public,Neutral,3,No,High School,Near,Male,62
16,61,No,9,86,Yes,2,Public,Positive,2,No,High School,Near,Male,62
24,66,Yes,8,81,Yes,1,Public,Neutral,4,No,High School,Far,Male,65
16,100,Yes,8,63,Yes,2,Public,Negative,3,No,High School,Moderate,Male,69
21,67,No,7,96,Yes,3,Public,Neutral,2,No,High School,Far,Female,64
20,80,No,5,94,Yes,0,Private,Positive,4,Yes,Postgraduate,Moderate,Female,67
16,94,Yes,9,76,Yes,0,Public,Neutral,2,No,High School,Near,Male,70
33,61,No,7,99,Yes,2,Public,Neutral,3,No,College,Near,Female,70
24,84,No,7,65,Yes,3,Public,Positive,3,No,High School,Near,Female,69
8,71,No,8,75,Yes,0,Public,Positive,3,No,High School,Near,Male,61
21,94,No,7,96,Yes,0,Private,Neutral,2,Yes,Postgraduate,Moderate,Male,69
16,71,Yes,5,73,Yes,1,Public,Neutral,0,Yes,High School,Near,Male,63
25,87,Yes,7,74,Yes,0,Public,Neutral,4,Yes,High School,Near,Male,67
15,87,No,4,54,Yes,1,Public,Neutral,6,No,,Moderate,Male,65
19,69,Yes,7,61,Yes,3,Public,Neutral,4,No,High School,Moderate,Male,66
23,61,No,9,58,Yes,4,Public,Neutral,2,No,High School,Near,Male,63
25,76,Yes,4,78,Yes,2,Private,Negative,3,No,High School,Moderate,Female,68
13,72,No,7,66,Yes,0,Public,Neutral,4,No,Postgraduate,Near,Male,65
18,92,Yes,8,54,Yes,1,Public,Positive,3,No,High School,Near,Male,67
17,92,Yes,8,75,Yes,2,Public,Neutral,3,No,Postgraduate,Near,Female,68
16,78,No,6,83,Yes,0,Public,Neutral,3,Yes,College,Near,Male,64
31,84,No,5,87,Yes,0,Private,Positive,3,No,College,Moderate,Male,71
22,84,Yes,6,92,Yes,0,Public,Neutral,5,No,High School,Near,Female,69
12,93,Yes,9,74,Yes,1,Public,Neutral,3,No,Postgraduate,Moderate,Male,67
26,77,No,4,70,Yes,2,Public,Neutral,3,Yes,College,Moderate,Female,65
33,71,No,5,84,Yes,1,Public,Positive,2,No,High School,Near,Male,68
26,71,Yes,6,51,No,1,Private,Positive,3,No,Postgraduate,Moderate,Male,67
11,81,Yes,6,82,Yes,3,Public,Neutral,4,No,High School,Near,Male,67
17,78,Yes,7,70,No,2,Public,Positive,3,No,High School,Near,Male,66
28,78,No,9,73,Yes,2,Public,Neutral,4,No,College,Moderate,Female,70
16,64,Yes,5,65,Yes,3,Private,Positive,4,No,Postgraduate,Moderate,Female,65
23,89,Yes,7,56,Yes,4,Private,Positive,4,No,Postgraduate,Near,Female,69
25,69,Yes,7,70,No,1,Public,Positive,4,No,High School,Far,Female,65
14,68,No,6,65,Yes,1,Public,Neutral,3,Yes,College,Near,Male,63
20,77,No,5,98,Yes,2,Private,Neutral,2,No,Postgraduate,Far,Female,67
1,69,Yes,6,97,Yes,1,Public,Positive,3,No,High School,Near,Female,61
14,83,Yes,6,82,Yes,0,Public,Positive,2,No,High School,Near,Female,65
18,75,Yes,8,95,Yes,1,Public,Neutral,2,No,College,Near,Female,66
13,78,Yes,8,88,Yes,0,Public,Neutral,3,No,College,Near,Male,66
30,81,Yes,5,67,Yes,1,Public,Negative,1,No,High School,Near,Male,69
11,68,No,6,80,Yes,2,Public,Positive,3,No,College,Moderate,Female,63
17,66,No,6,61,Yes,1,Public,Positive,6,No,Postgraduate,Near,Male,65
21,95,No,10,84,Yes,0,Public,Neutral,4,Yes,High School,Near,Male,67
29,77,Yes,7,52,Yes,2,Public,Negative,3,Yes,High School,Near,Female,69
11,76,Yes,5,92,Yes,4,Public,Negative,2,No,Postgraduate,Near,Male,65
27,61,No,6,79,Yes,1,Public,Positive,3,No,High School,Moderate,Male,65
20,80,Yes,6,53,Yes,0,Public,Neutral,2,No,College,Moderate,Male,65
14,82,Yes,8,94,Yes,2,Public,Negative,5,No,College,Far,Female,67
23,82,Yes,8,94,Yes,1,Public,Negative,2,Yes,High School,,Male,66
21,88,No,7,93,Yes,4,Public,Positive,3,No,High School,Near,Female,72
16,67,No,7,89,Yes,3,Public,Positive,3,No,College,Near,Male,66
20,70,Yes,7,84,No,2,Private,Neutral,4,No,College,Far,Male,65
18,92,Yes,7,70,Yes,1,Public,Neutral,3,No,High School,Moderate,Male,69
21,98,No,4,57,Yes,2,Public,Neutral,2,No,High School,Near,Female,68
24,65,No,7,64,Yes,1,Public,Neutral,1,No,Postgraduate,Near,Male,64
30,80,No,6,67,Yes,3,Public,Negative,4,No,College,Moderate,Female,69
13,69,Yes,5,68,Yes,0,Public,Positive,1,Yes,High School,Moderate,Female,59
33,62,Yes,10,78,Yes,0,Private,Positive,3,No,High School,Moderate,Female,68
8,73,No,7,60,No,0,Private,Neutral,3,No,High School,Near,Female,60
19,66,No,7,59,Yes,1,Public,Negative,3,No,High School,Far,Male,62
24,88,Yes,6,86,Yes,0,Public,Negative,3,No,College,Near,Male,67
22,81,Yes,8,50,Yes,4,Private,Positive,5,No,High School,Far,Female,68
16,66,Yes,5,57,Yes,3,Public,Positive,3,No,High School,Moderate,Female,64
19,60,Yes,7,72,Yes,3,Public,Positive,3,No,High School,Moderate,Female,65
17,92,Yes,6,57,Yes,2,Private,Positive,2,Yes,High School,Moderate,Female,65
16,67,No,8,98,Yes,0,Public,Neutral,3,No,High School,Near,Female,63
25,84,Yes,6,84,Yes,2,Public,Positive,3,No,High School,Near,Male,70
22,73,Yes,9,72,Yes,3,Public,Positive,3,No,High School,Near,Female,66
16,83,Yes,7,56,Yes,4,Public,Positive,3,No,High School,Near,Female,68
25,73,No,8,69,Yes,3,Private,Positive,3,No,High School,Near,Female,66
22,63,No,8,83,Yes,3,Private,Negative,1,No,College,Near,Male,63
25,69,Yes,9,98,Yes,1,Public,Negative,3,Yes,College,Moderate,Female,66
24,68,Yes,6,74,Yes,1,Public,Neutral,3,No,High School,Near,Female,65
15,77,Yes,8,85,Yes,1,Public,Positive,2,No,Postgraduate,Moderate,Male,66
17,86,Yes,4,60,Yes,2,Private,Positive,3,Yes,College,Moderate,Female,67
24,71,Yes,7,81,Yes,0,Private,Positive,3,No,High School,Near,Male,66
24,60,No,6,62,Yes,4,Public,Negative,3,No,High School,Near,Female,63
20,81,Yes,5,60,Yes,3,Public,Positive,4,Yes,High School,Near,Male,66
21,84,No,6,75,No,1,Public,Positive,3,No,College,Moderate,Male,67
28,99,Yes,6,61,No,1,Public,Positive,3,No,High School,Near,Male,71
16,84,Yes,7,86,Yes,1,Private,Neutral,2,No,High School,Near,Female,67
23,79,Yes,6,97,Yes,1,Public,Neutral,4,No,High School,Moderate,Male,69
19,83,Yes,7,70,Yes,2,Public,Negative,4,Yes,Postgraduate,Near,Female,67
19,97,Yes,6,66,Yes,2,Private,Positive,2,No,College,Moderate,Female,72
27,93,No,6,59,Yes,2,Private,Negative,4,No,High School,Near,Female,70
25,73,Yes,7,70,Yes,0,Private,Neutral,4,No,Postgraduate,Moderate,Male,67
25,69,Yes,7,78,Yes,0,Public,Negative,3,No,High School,Far,Female,64
28,71,No,8,69,Yes,1,Private,Neutral,1,No,College,Moderate,Female,67
20,80,No,8,81,Yes,3,Private,Negative,4,No,Postgraduate,Near,Male,69
24,90,No,7,83,Yes,0,Private,Positive,3,No,College,,Male,68
18,80,No,8,55,Yes,2,Public,Neutral,3,No,High School,Moderate,Male,63
22,63,Yes,7,85,Yes,4,Public,Negative,3,No,College,Near,Female,68
19,89,Yes,7,95,Yes,0,Public,Positive,3,No,High School,Near,Male,70
21,92,Yes,8,51,Yes,0,Public,Neutral,2,No,College,Moderate,Male,66
24,72,No,6,78,Yes,0,Public,Negative,6,No,High School,Near,Female,68
15,87,Yes,4,80,Yes,0,Private,Positive,3,No,College,Near,Male,67
33,77,Yes,5,85,Yes,0,Private,Neutral,5,No,High School,Far,Female,69
14,96,Yes,9,69,Yes,0,Private,Negative,3,Yes,College,Near,Female,66
13,94,Yes,7,91,Yes,3,Public,Neutral,3,No,High School,Near,Male,68
27,81,Yes,7,77,Yes,2,Public,Neutral,2,Yes,Postgraduate,Moderate,Female,69
25,88,Yes,7,70,Yes,1,Private,Positive,3,No,Postgraduate,Moderate,Male,70
24,95,Yes,8,86,Yes,1,Private,Neutral,3,No,College,Near,Male,74
24,80,Yes,7,96,Yes,0,Public,Positive,0,No,College,Moderate,Female,70
20,73,Yes,7,91,Yes,1,Public,Neutral,2,No,Postgraduate,Moderate,Male,66
15,90,Yes,8,97,Yes,1,Private,Negative,3,No,College,Near,Female,69
20,69,No,6,63,Yes,0,Public,Negative,3,No,Postgraduate,Near,Male,64
16,76,Yes,8,56,No,1,Public,Positive,1,No,High School,Near,Male,62
26,95,No,7,77,Yes,0,Public,Neutral,3,No,High School,Moderate,Female,70
19,89,Yes,7,52,Yes,2,Public,Negative,4,No,High School,Moderate,Male,68
15,76,Yes,6,84,Yes,0,Public,Neutral,3,No,College,Near,Female,65
18,69,No,7,62,Yes,3,Public,Positive,3,No,High School,Moderate,Male,65
